Start,End,Script,P1,P2,Final,P1,P2,Final,Match
19.32,20.31,hey guys what's up,opening,opening,opening,greeting,greeting,,
20.32,21.95,and welcome back to my channel,opening,opening,opening,greeting,greeting,,
21.96,23.53,i hope you all are doing great,opening,opening,opening,greeting,greeting,,
23.86,29.7,i've been seeing these unicorn cakes and macarons all over instagram and as soon as i saw them,motivation,motivation,motivation,motivation,motivation,,
29.8,32.89,i knew that i wanted to make a phone case design like it,motivation,motivation,motivation,motivation,motivation,,
32.96,37.09,so today i'm going to be making a unicorn phone case from scratch,goal,goal,goal,goal,goal,,
37.14,44.19,it's been quite a while since i've done a silicone phone case video but you could totally also make this phone case using the clear one,goal,goal,goal,tool (multiple),comment,,
44.26,46.05,so i hope you guys enjoy the theo,opening,opening,opening,greeting,transition,,
46.06,48.91,if you do enjoy it be sure to give it a big thumbs up,self-promo,opening,self-promo,greeting,transition,,
48.98,53.41,and if you are new to my channel and if you could maybe click that subscribe button that would be so,self-promo,opening,self-promo,greeting,transition,,
53.42,54.43,so awesome,self-promo,opening,self-promo,greeting,transition,,
54.5,61.03,and also by the time this video is up i'm pretty sure that there will be a new blog up on my second channel,self-promo,self-promo,self-promo,greeting,personal info,,
61.1,66.59,so if you would like to watch that i will leave a link for it down below and ,self-promo,self-promo,self-promo,greeting,personal info,,
66.6,69.12,now without any further ado let's get started with the unicorn phone case,bridge,bridge,bridge,transition,transition,,
70.99,76.46,to make your own phone case from scratch you will need silicone and cornstarch,tool,tool,tool,tool ,tool,,
76.53,82.11,i got both of these items from walmart in a bowl,tool,tool,tool,tool,tool,,
82.12,90.07,i'm going to take out some cornstarch then i'm going to take the silicone and squeeze out a very good amount of it,instruction,instruction,instruction,instruction,instruction,,
90.14,95.41,make sure that you put all of this in one area because you don't want this to go all over the place,tip,instruction,instruction,tip,instruction,,
95.46,101.03,so what i did is i'm going to sprinkle some cornstarch on top of the silicone,tip,instruction,instruction,tip,instruction,,
101.1,103.71,that way it's not going to stick onto my hands,tip,effect,effect,tip,justification,,
103.78,109.34,and as you can see i am wearing a pair of gloves because silicone is super sticky,tip,tip,tip,justification,tool,,
